idx;Id;Url;TipusOferta;TipusImmoble;Municipi;Provincia;Zona;PreuActual;DataOferta;Sup_m2;NumHabitacions;NumBanys;AnyConstruccio;Planta;Parking;Calefaccio;AC;Moblat;EficienciaEnergetica;ClasseEmissions;Jardi;Ascensor
29;i19369003775732;https://www.habitaclia.com/alquiler-apartamento-gotic-barcelona-i19369003775732.htm?pag=1&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;750;26-04-2020;50;1;;;1;False;True;True;False;G;G;False;False
30;i8166003732357;https://www.habitaclia.com/alquiler-apartamento-maravilloso_piso_en_gotic_gotic-barcelona-i8166003732357.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;1650;26-04-2020;62;2;;2019;;False;True;True;False;A;A;False;True
31;i14881003206509;https://www.habitaclia.com/alquiler-piso-en_tuset_con_amplio_salon_sant_gervasi_galvany-barcelona-i14881003206509.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;1650;26-04-2020;119;2;2;1968;6;False;True;True;True;E;D;False;True
32;i2579003719715;https://www.habitaclia.com/alquiler-piso-a_estrenar_st_pere_sta_caterina_el_born-barcelona-i2579003719715.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;St. Pere - Sta. Caterina - El Born;1450;26-04-2020;72;2;2;1929;1;False;True;True;True;G;G;False;True
33;i4737003724136;https://www.habitaclia.com/alquiler-apartamento-amueblado_con_ascensor_gotic-barcelona-i4737003724136.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;1550;26-04-2020;60;2;;;2;False;True;True;False;A;A;False;True
34;i5158003710148;https://www.habitaclia.com/alquiler-piso-alegre_y_luminoso_plaza_espana_sant_antoni-barcelona-i5158003710148.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Antoni;1550;26-04-2020;94;3;2;;5;False;True;False;False;G;G;False;True
35;i4190003644252;https://www.habitaclia.com/alquiler-piso-trias_i_giro_pedralbes_les_corts_pedralbes-barcelona-i4190003644252.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Pedralbes;2200;26-04-2020;176;4;3;1981;2;True;True;True;True;G;G;False;True
36;i8166003731756;https://www.habitaclia.com/alquiler-piso-fantastica_propiedad_en_plaza_universitat_raval-barcelona-i8166003731756.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Raval;2100;26-04-2020;85;3;;1900;;False;True;True;False;D;E;False;False
37;i4585003701864;https://www.habitaclia.com/alquiler-piso-en_valencia_balmes_dreta_de_l_eixample-barcelona-i4585003701864.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;1550;26-04-2020;110;2;2;1900;2;False;False;True;True;G;G;False;True
38;i12826003552051;https://www.habitaclia.com/alquiler-piso-sagrada_familia_de_70m2_sagrada_familia-barcelona-i12826003552051.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sagrada Família;1250;26-04-2020;70;2;;;4;False;True;True;False;G;G;False;True
39;i14881003727712;https://www.habitaclia.com/alquiler-piso-inmueble_exterior_con_mucha_luz_sant_gervasi_galvany-barcelona-i14881003727712.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Gervasi - Galvany;1980;26-04-2020;155;4;3;1939;5;False;True;True;True;E;D;False;True
40;i3566003634797;https://www.habitaclia.com/alquiler-piso-con_terraza_en_el_gotico_gotic-barcelona-i3566003634797.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;1200;26-04-2020;57;2;;1936;4;False;True;True;True;D;D;False;False
41;i5158003734828;https://www.habitaclia.com/alquiler-piso-alegre_y_comodo_tres_torres-barcelona-i5158003734828.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Tres Torres;2150;26-04-2020;140;3;3;1999;2;True;True;True;True;G;G;False;True
42;i9863003748295;https://www.habitaclia.com/alquiler-piso-tranquilo_calle_riu_de_lor_32_sarria-barcelona-i9863003748295.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sarrià;1200;26-04-2020;72;2;;1960;1;False;True;False;True;G;G;False;True
43;i4737003117955;https://www.habitaclia.com/alquiler-piso-amueblado_y_con_piscina_dreta_de_l_eixample-barcelona-i4737003117955.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;1850;26-04-2020;70;2;;;5;False;True;True;False;A;A;False;True
44;i15217003751056;https://www.habitaclia.com/alquiler-piso-amueblado_2_habitaciones_calle_bruc_78_dreta_de_l_eixample-barcelona-i15217003751056.htm?pag=2&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Dreta de l´Eixample;1200;26-04-2020;71;2;;1900;4;False;True;True;False;G;G;False;True
45;i20330003752670;https://www.habitaclia.com/alquiler-piso-gran_terraza_obra_nueva_sarria-barcelona-i20330003752670.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sarrià;4128;26-04-2020;116;3;2;2019;3;False;True;True;True;A;B;False;True
46;i3047003255317;https://www.habitaclia.com/alquiler-piso-reformado_nuevo_a_estrenar_gotic-barcelona-i3047003255317.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;1900;26-04-2020;130;3;2;1900;4;False;True;False;True;G;G;False;True
47;i1958003748013;https://www.habitaclia.com/alquiler-piso-fantastico_junto_plaza_molina_putget_farro-barcelona-i1958003748013.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Putget - Farró;2400;26-04-2020;197;6;3;;7;True;True;True;True;E;E;False;True
48;i15217003101867;https://www.habitaclia.com/alquiler-piso-3_habitaciones_dobles_luminoso_calle_selva_de_mar_273_sant_marti-barcelona-i15217003101867.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Sant Martí;1100;26-04-2020;68;3;;1960;3;False;False;False;False;E;E;False;True
49;i8306003388326;https://www.habitaclia.com/alquiler-piso-completamente_reformado_gotic-barcelona-i8306003388326.htm?pag=3&f=&geo=c&from=list&lo=55;Lloguer;piso;barcelona;barcelona;Gòtic;1700;26-04-2020;110;2;2;1900;1;False;True;True;True;E;E;False;True
