"","Url","TipusImmoble","Zona","PreuInicial","Sup_m2","NumHabitacions","NumBanys","AnyConstruccio","Planta","Parking","Calefaccio","AC","Moblat","EficienciaEnergetica","ClasseEmissions","Jardi","Ascensor","PreuActual","HaEstatLlogat","PreuMetre2"
"30","https://www.habitaclia.com/alquiler-duplex-de_2_habitaciones_calle_gerard_piera_5_les_corts-barcelona-i10419003730897.htm?pag=26&f=&geo=c&from=list&lo=55","duplex","Les Corts",1100,60,2,2,1971,1,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,1100,FALSE,18.3333333333333
"31","https://www.habitaclia.com/alquiler-piso-muy_luminoso_calle_sabateret_1_st_pere_sta_caterina_el_born-barcelona-i10419003741636.htm?pag=26&f=&geo=c&from=list&lo=55","piso","St. Pere - Sta. Caterina - El Born",1050,52,1,2,1992,4,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,1050,TRUE,20.1923076923077
"32","https://www.habitaclia.com/alquiler-piso-de_3_habitaciones_avenida_gaudi_32_sagrada_familia-barcelona-i10419003744575.htm?pag=29&f=&geo=c&from=list&lo=55","piso","Sagrada Família",1500,115,3,2,1946,5,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,1500,FALSE,13.0434782608696
"33","https://www.habitaclia.com/alquiler-piso-con_terraza_calle_rec_61_st_pere_sta_caterina_el_born-barcelona-i10419003746046.htm?pag=90&f=&geo=c&from=list&lo=55","piso","St. Pere - Sta. Caterina - El Born",700,24,3,1,1980,4,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,700,TRUE,29.1666666666667
"34","https://www.habitaclia.com/alquiler-piso-disponible_a_partir_del_1_abril_calle_arago_380_dreta_de_l_eixample-barcelona-i10419003747288.htm?pag=33&f=&geo=c&from=list&lo=55","piso","Dreta de l´Eixample",1050,66,3,2,1920,4,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,1050,FALSE,15.9090909090909
"35","https://www.habitaclia.com/alquiler-piso-se_entrega_recien_pintada_calle_roger_de_lluria_93_dreta_de_l_eixample-barcelona-i10419003748069.htm?pag=28&f=&geo=c&from=list&lo=55","piso","Dreta de l´Eixample",1300,72,1,2,1910,6,FALSE,TRUE,TRUE,TRUE,"G","G",FALSE,TRUE,1300,FALSE,18.0555555555556
"36","https://www.habitaclia.com/alquiler-piso-en_pleno_centro_st_pere_sta_caterina_el_born-barcelona-i10419003749377.htm?pag=73&f=&geo=c&from=list&lo=55","piso","St. Pere - Sta. Caterina - El Born",1200,56,1,2,1940,2,FALSE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,1200,FALSE,21.4285714285714
"37","https://www.habitaclia.com/alquiler-piso-de_3_habitaciones_con_piscina_calle_josep_pla_31_diagonal_mar_la_mar_bella-barcelona-i10419003750844.htm?pag=27&f=&geo=c&from=list&lo=55","piso","Diagonal Mar - La Mar Bella",3400,146,3,2,2002,20,TRUE,TRUE,TRUE,FALSE,"G","G",FALSE,TRUE,3400,TRUE,23.2876712328767
"38","https://www.habitaclia.com/alquiler-piso-muy_luminoso_y_espacioso_calle_independencia_342_camp_de_l_arpa-barcelona-i10419003751685.htm?pag=32&f=&geo=c&from=list&lo=55","piso","Camp de l´Arpa",975,60,2,2,1940,2,FALSE,FALSE,FALSE,FALSE,"G","G",FALSE,TRUE,975,FALSE,16.25
"39","https://www.habitaclia.com/alquiler-piso-muy_luminoso_y_espacioso_sagrada_familia-barcelona-i10419003752246.htm?pag=154&f=&geo=c&from=list&lo=55","piso","Sagrada Família",975,60,2,2,1940,2,FALSE,FALSE,FALSE,FALSE,"G","G",FALSE,TRUE,975,FALSE,16.25
